        Frequency / GHz                SZmax(1),Zmax(1) (h=1)/abs,dB
                  13.338                    -0.019476061
                13.34375                     -0.01950321
                  13.384                    -0.019694145
                   13.43                    -0.019914276
                  13.476                     -0.02013647
                  13.522                    -0.020360746
                  13.568                    -0.020587119
                  13.614                    -0.020815607
                   13.66                    -0.021046229
                  13.706                    -0.021279003
                  13.752                    -0.021513945
                  13.798                    -0.021751075
                  13.844                    -0.021990411
                   13.89                     -0.02223197
                  13.936                    -0.022475773
                  13.982                    -0.022721837
                  14.028                    -0.022970182
                 14.0625                     -0.02315795
                  14.074                    -0.023220828
                   14.12                    -0.023473792
                  14.166                    -0.023729095
                  14.212                    -0.023986757
                  14.258                    -0.024246798
                  14.304                    -0.024509238
                   14.35                    -0.024774098
                  14.396                    -0.025041398
                  14.442                    -0.025311159
                  14.488                    -0.025583403
                  14.534                    -0.025858151
                   14.58                    -0.026135425
                  14.626                    -0.026415246
                  14.672                    -0.026697637
                  14.718                     -0.02698262
                  14.764                    -0.027270218
                14.78125                    -0.027378746
                   14.81                    -0.027560454
                  14.856                     -0.02785335
                  14.902                     -0.02814893
                  14.948                    -0.028447217
                  14.994                    -0.028748236
                   15.04                     -0.02905201
                  15.086                    -0.029358564
                  15.132                    -0.029667922
                  15.178                    -0.029980109
                  15.224                     -0.03029515
                   15.27                    -0.030613071
                  15.316                    -0.030933898
                  15.362                    -0.031257656
                  15.408                    -0.031584372
                  15.454                    -0.031914072
                    15.5                    -0.032246784
                  15.546                    -0.032582535
                  15.592                    -0.032921352
                  15.638                    -0.033263263
                  15.684                    -0.033608296
                   15.73                    -0.033956481
                  15.776                    -0.034307846
                  15.822                    -0.034662419
                  15.868                    -0.035020232
                  15.914                    -0.035381312
                   15.96                    -0.035745691
                  16.006                    -0.036113395
                  16.052                    -0.036484453
                  16.098                    -0.036858886
                  16.144                    -0.037236701
                   16.19                     -0.03761786
                16.21875                    -0.037857713
                  16.236                    -0.038002178
                  16.282                    -0.038389197
                  16.328                    -0.038780037
                  16.374                    -0.039176538
                   16.42                    -0.039576551
                  16.466                     -0.03997981
                  16.512                    -0.040386564
                  16.558                    -0.040796955
                  16.604                    -0.041211068
                   16.65                    -0.041628964
                  16.696                    -0.042050691
                  16.742                    -0.042476294
                  16.788                    -0.042905818
                  16.834                    -0.043339305
                   16.88                    -0.043776796
                  16.926                    -0.044218335
                 16.9375                    -0.044329358
                  16.972                    -0.044663965
                  17.018                    -0.045113729
                  17.064                     -0.04556767
                   17.11                    -0.046025835
                  17.156                    -0.046488268
                  17.202                    -0.046955016
                  17.248                    -0.047426126
                  17.294                    -0.047901646
                   17.34                    -0.048381625
                  17.386                    -0.048866113
                  17.432                    -0.049355161
                  17.478                    -0.049848821
                  17.524                    -0.050347145
                   17.57                    -0.050850188
                  17.616                    -0.051358005
                17.65625                    -0.051806306
                  17.662                    -0.051870653
                  17.708                     -0.05238819
                  17.754                    -0.052910674
                    17.8                    -0.053438167
                  17.846                    -0.053970729
                  17.892                    -0.054508426
                  17.938                    -0.055051322
                  17.984                    -0.055599484
                   18.03                     -0.05615298
                  18.076                    -0.056711883
                  18.122                    -0.057276263
                  18.168                    -0.057846197
                  18.214                     -0.05842176
                   18.26                    -0.059003033
                  18.306                    -0.059590098
                  18.352                    -0.060183038
                  18.375                    -0.060481738
                  18.398                     -0.06078194
                  18.444                    -0.061386894
                   18.49                     -0.06199799
                  18.536                    -0.062615321
                  18.582                     -0.06323898
                  18.628                    -0.063869061
                  18.674                    -0.064505657
                   18.72                     -0.06514886
                  18.766                    -0.065798764
                  18.812                    -0.066455462
                  18.858                    -0.067119054
                  18.904                    -0.067789647
                   18.95                    -0.068467358
                  18.996                    -0.069152317
                  19.042                    -0.069844665
                  19.088                    -0.070544556
                19.09375                     -0.07063258
                  19.134                    -0.071252147
                   19.18                    -0.071967605
                  19.226                    -0.072691102
                  19.272                    -0.073422815
                  19.318                    -0.074162925
                  19.364                    -0.074911624
                   19.41                    -0.075669107
                  19.456                    -0.076435581
                  19.502                    -0.077211261
                  19.548                    -0.077996376
                  19.594                    -0.078791165
                   19.64                    -0.079595883
                  19.686                    -0.080410798
                  19.732                    -0.081236197
                  19.778                    -0.082072386
                 19.8125                    -0.082706802
                  19.824                    -0.082919687
                   19.87                    -0.083778448
                  19.916                    -0.084649036
                  19.962                    -0.085531842
                  20.008                    -0.086427285
                  20.054                    -0.087335808
                    20.1                    -0.088257879
                  20.146                       -0.089194
                  20.192                    -0.090144701
                  20.238                    -0.091110548
                  20.284                    -0.092092148
                   20.33                    -0.093090154
                  20.376                    -0.094105273
                  20.422                    -0.095138275
                  20.468                    -0.096190001
                  20.514                    -0.097261377
                20.53125                    -0.097668413
                   20.56                    -0.098353419
                  20.606                    -0.099467247
                  20.652                      -0.1006041
                  20.698                     -0.10176534
                  20.744                      -0.1029525
                   20.79                     -0.10416726
                  20.836                     -0.10541148
                  20.882                     -0.10668728
                  20.928                       -0.107997
                  20.974                     -0.10934328
                   21.02                      -0.1107291
                  21.066                     -0.11215783
                  21.112                     -0.11363331
                  21.158                     -0.11515991
                  21.204                     -0.11674267
                   21.25                     -0.11838738
                  21.296                     -0.12010074
                  21.342                     -0.12189058
                  21.388                     -0.12376606
                  21.434                     -0.12573797
                   21.48                     -0.12781911
                  21.526                     -0.13002478
                  21.572                      -0.1323734
                  21.618                     -0.13488728
                  21.664                     -0.13759377
                   21.71                      -0.1405266
                  21.756                     -0.14372788
                  21.802                     -0.14725072
                  21.848                     -0.15116295
                  21.894                     -0.15555233
                   21.94                     -0.16053411
                21.96875                     -0.16401484
                  21.986                     -0.16626212
                  22.032                     -0.17294549
                  22.078                     -0.18087433
                  22.124                     -0.19046055
                   22.17                     -0.20230441
                  22.216                     -0.21730708
                  22.262                      -0.2368682
                  22.308                     -0.26324735
                  22.354                     -0.30025474
                    22.4                     -0.35462522
                  22.446                     -0.43880808
                  22.492                     -0.57629746
                  22.538                     -0.80765479
                  22.584                      -1.1619106
                   22.63                       -1.458491
                  22.676                      -1.2873299
                 22.6875                      -1.1858498
                  22.722                     -0.87868074
                  22.768                     -0.58657944
                  22.814                     -0.42135484
                   22.86                     -0.32853599
                  22.906                     -0.27405618
                  22.952                      -0.2405381
                  22.998                     -0.21910229
                  23.044                     -0.20500519
               23.046875                     -0.20429971
                   23.09                     -0.19558035
                  23.136                     -0.18925576
                  23.182                     -0.18506478
                  23.228                     -0.18239107
                  23.274                     -0.18082922
                   23.32                      -0.1801056
                  23.366                     -0.18003155
                23.40625                      -0.1803946
                  23.412                      -0.1804748
                  23.458                     -0.18134161
                  23.504                     -0.18256522
                   23.55                     -0.18409828
                  23.596                     -0.18590783
                  23.642                     -0.18797202
                  23.688                     -0.19027787
                  23.734                     -0.19281996
                   23.78                     -0.19559951
                  23.826                     -0.19862393
                  23.872                     -0.20190647
                  23.918                      -0.2054664
                  23.964                     -0.20932941
                   24.01                     -0.21352861
                  24.056                     -0.21810587
                  24.102                     -0.22311377
                  24.125                     -0.22579921
                  24.148                     -0.22861825
                  24.194                      -0.2347021
                   24.24                     -0.24146988
                  24.286                     -0.24905463
                  24.332                     -0.25762725
                  24.378                     -0.26740989
                  24.424                     -0.27869534
                   24.47                     -0.29187555
                  24.516                     -0.30748475
                  24.562                      -0.3262661
                  24.608                     -0.34927769
                 24.6425                      -0.3702174
                  24.654                     -0.37806647
                    24.7                      -0.4149638
                  24.746                      -0.4636081
                  24.792                     -0.52991335
                  24.838                     -0.62370776
                  24.884                      -0.7630162
                24.90125                     -0.83297706
                   24.93                     -0.98079305
                  24.976                      -1.3391123
                  25.022                      -1.9405009
               25.030625                      -2.0883601
                  25.068                      -2.8196909
               25.095312                       -3.264023
                  25.114                      -3.3545252
                   25.16                      -2.6828573
                  25.206                      -1.7219737
                  25.252                      -1.1085127
                 25.2865                     -0.83642065
                  25.298                     -0.76949107
                  25.344                     -0.57915936
                   25.39                     -0.46725204
                  25.413                     -0.42891846
                  25.436                     -0.39863462
                  25.482                     -0.35542111
                  25.528                     -0.32813757
                  25.574                     -0.31162851
                   25.62                     -0.30314641
                  25.666                     -0.30147957
                  25.712                     -0.30664666
                  25.758                     -0.32001289
                  25.804                     -0.34489079
                   25.85                     -0.38784754
                  25.896                     -0.46069925
                  25.942                     -0.57990567
                  25.988                     -0.74432178
                  26.034                     -0.86673872
                   26.08                     -0.82476168
                  26.126                     -0.68398313
                  26.172                     -0.55809839
                  26.218                      -0.4726048
                  26.264                     -0.41771482
                   26.31                     -0.38219904
                  26.333                     -0.36927677
                  26.356                     -0.35870484
                  26.402                     -0.34284578
                  26.448                     -0.33200704
                  26.494                     -0.32459004
                   26.54                     -0.31958588
                  26.586                     -0.31633729
                  26.632                     -0.31440334
                  26.678                     -0.31348036
                  26.724                      -0.3133544
                   26.77                     -0.31387176
                  26.816                     -0.31492019
