        Frequency / GHz                SZmax(1),Zmax(1) (wm=1)/abs,dB
                  14.856                     -0.14796825
                  14.902                     -0.14988802
                  14.948                     -0.15182735
                  14.994                     -0.15378645
                   15.04                     -0.15576552
                  15.086                     -0.15776476
                  15.132                     -0.15978436
                  15.178                     -0.16182451
                  15.224                     -0.16388543
                   15.27                     -0.16596729
                  15.316                      -0.1680703
                  15.362                     -0.17019465
                  15.408                     -0.17234052
                  15.454                     -0.17450812
                    15.5                     -0.17669763
                  15.546                     -0.17890924
                  15.592                     -0.18114313
                  15.638                     -0.18339949
                  15.684                      -0.1856785
                   15.73                     -0.18798034
                  15.776                      -0.1903052
                  15.822                     -0.19265324
                  15.868                     -0.19502464
                  15.914                     -0.19741957
                   15.96                     -0.19983821
                  16.006                     -0.20228071
                  16.052                     -0.20474723
                  16.098                     -0.20723795
                  16.144                       -0.209753
                   16.19                     -0.21229255
                  16.236                     -0.21485674
                  16.282                     -0.21744572
                  16.328                     -0.22005962
                  16.374                     -0.22269859
                   16.42                     -0.22536276
                  16.466                     -0.22805224
                  16.512                     -0.23076717
                  16.558                     -0.23350765
                  16.604                     -0.23627381
                   16.65                     -0.23906574
                  16.696                     -0.24188356
                  16.742                     -0.24472734
                  16.788                     -0.24759718
                  16.834                     -0.25049317
                   16.88                     -0.25341537
                  16.926                     -0.25636386
                  16.972                      -0.2593387
                  17.018                     -0.26233994
                  17.064                     -0.26536763
                   17.11                      -0.2684218
                  17.156                      -0.2715025
                  17.202                     -0.27460973
                  17.248                     -0.27774352
                  17.294                     -0.28090388
                   17.34                     -0.28409079
                  17.386                     -0.28730425
                  17.432                     -0.29054424
                  17.478                     -0.29381072
                  17.524                     -0.29710366
                   17.57                     -0.30042299
                  17.616                     -0.30376867
                  17.662                     -0.30714061
                  17.708                     -0.31053874
                  17.754                     -0.31396295
                    17.8                     -0.31741316
                  17.846                     -0.32088922
                  17.892                     -0.32439103
                  17.938                     -0.32791843
                  17.984                     -0.33147127
                   18.03                     -0.33504938
                  18.076                      -0.3386526
                  18.122                     -0.34228071
                  18.168                     -0.34593352
                  18.214                     -0.34961081
                   18.26                     -0.35331234
                  18.306                     -0.35703787
                  18.352                     -0.36078713
                  18.398                     -0.36455985
                  18.444                     -0.36835574
                   18.49                     -0.37217449
                  18.536                     -0.37601579
                  18.582                     -0.37987929
                  18.628                     -0.38376464
                  18.674                     -0.38767148
                   18.72                     -0.39159943
                  18.766                     -0.39554809
                  18.812                     -0.39951704
                  18.858                     -0.40350585
                  18.904                     -0.40751408
                   18.95                     -0.41154127
                  18.996                     -0.41558692
                  19.042                     -0.41965055
                  19.088                     -0.42373165
                  19.134                     -0.42782968
                   19.18                      -0.4319441
                  19.226                     -0.43607435
                  19.272                     -0.44021985
                  19.318                     -0.44437999
                  19.364                     -0.44855417
                   19.41                     -0.45274176
                  19.456                     -0.45694211
                  19.502                     -0.46115456
                  19.548                     -0.46537843
                  19.594                     -0.46961301
                   19.64                     -0.47385761
                  19.686                     -0.47811149
                  19.732                     -0.48237391
                  19.778                     -0.48664411
                  19.824                     -0.49092131
                   19.87                     -0.49520472
                  19.916                     -0.49949354
                  19.962                     -0.50378693
                  20.008                     -0.50808408
                  20.054                     -0.51238413
                    20.1                     -0.51668621
                  20.146                     -0.52098945
                  20.192                     -0.52529295
                  20.238                     -0.52959582
                  20.284                     -0.53389713
                   20.33                     -0.53819597
                  20.376                     -0.54249138
                  20.422                     -0.54678242
                  20.468                     -0.55106813
                  20.514                     -0.55534754
                   20.56                     -0.55961966
                  20.606                     -0.56388351
                  20.652                     -0.56813808
                  20.698                     -0.57238238
                  20.744                     -0.57661538
                   20.79                     -0.58083607
                  20.836                     -0.58504342
                  20.882                     -0.58923641
                  20.928                     -0.59341399
                  20.974                     -0.59757512
                   21.02                     -0.60171876
                  21.066                     -0.60584388
                  21.112                     -0.60994941
                  21.158                     -0.61403431
                  21.204                     -0.61809754
                   21.25                     -0.62213804
                  21.296                     -0.62615477
                  21.342                     -0.63014668
                  21.388                     -0.63411274
                  21.434                      -0.6380519
                   21.48                     -0.64196314
                  21.526                     -0.64584541
                  21.572                     -0.64969771
                  21.618                     -0.65351902
                  21.664                     -0.65730832
                   21.71                     -0.66106463
                  21.756                     -0.66478695
                  21.802                      -0.6684743
                  21.848                     -0.67212571
                  21.894                     -0.67574023
                   21.94                     -0.67931692
                  21.986                     -0.68285483
                  22.032                     -0.68635307
                  22.078                     -0.68981071
                  22.124                     -0.69322689
                   22.17                     -0.69660073
                  22.216                     -0.69993137
                  22.262                     -0.70321798
                  22.308                     -0.70645975
                  22.354                     -0.70965587
                    22.4                     -0.71280557
                  22.446                     -0.71590809
                  22.492                      -0.7189627
                  22.538                     -0.72196867
                  22.584                     -0.72492532
                   22.63                     -0.72783198
                  22.676                     -0.73068799
                  22.722                     -0.73349273
                  22.768                     -0.73624561
                  22.814                     -0.73894604
                   22.86                     -0.74159347
                  22.906                     -0.74418739
                  22.952                     -0.74672728
                  22.998                     -0.74921268
                  23.044                     -0.75164314
                   23.09                     -0.75401822
                  23.136                     -0.75633755
                  23.182                     -0.75860074
                  23.228                     -0.76080746
                  23.274                     -0.76295738
                   23.32                     -0.76505023
                  23.366                     -0.76708574
                  23.412                     -0.76906367
                  23.458                     -0.77098382
                  23.504                     -0.77284601
                   23.55                     -0.77465009
                  23.596                     -0.77639593
                  23.642                     -0.77808342
                  23.688                     -0.77971251
                  23.734                     -0.78128313
                   23.78                     -0.78279528
                  23.826                     -0.78424895
                  23.872                     -0.78564418
                  23.918                     -0.78698103
                  23.964                     -0.78825958
                   24.01                     -0.78947993
                  24.056                     -0.79064223
                  24.102                     -0.79174662
                  24.148                     -0.79279328
                  24.194                     -0.79378242
                   24.24                     -0.79471426
                  24.286                     -0.79558906
                  24.332                     -0.79640708
                  24.378                     -0.79716861
                  24.424                     -0.79787397
                   24.47                     -0.79852349
                  24.516                     -0.79911753
                  24.562                     -0.79965645
                  24.608                     -0.80014065
                  24.654                     -0.80057054
                    24.7                     -0.80094654
                  24.746                     -0.80126911
                  24.792                      -0.8015387
                  24.838                     -0.80175578
                  24.884                     -0.80192086
                   24.93                     -0.80203443
                  24.976                     -0.80209703
                  25.022                     -0.80210919
                  25.068                     -0.80207144
                  25.114                     -0.80198436
                   25.16                     -0.80184852
                  25.206                      -0.8016645
                  25.252                      -0.8014329
                  25.298                     -0.80115431
                  25.344                     -0.80082935
                   25.39                     -0.80045865
                  25.436                     -0.80004283
                  25.482                     -0.79958254
                  25.528                     -0.79907841
                  25.574                      -0.7985311
                   25.62                     -0.79794127
                  25.666                     -0.79730958
                  25.712                      -0.7966367
                  25.758                     -0.79592329
                  25.804                     -0.79517005
                   25.85                     -0.79437763
                  25.896                     -0.79354674
                  25.942                     -0.79267804
                  25.988                     -0.79177223
                  26.034                        -0.79083
                   26.08                     -0.78985203
                  26.126                     -0.78883902
                  26.172                     -0.78779164
                  26.218                      -0.7867106
                  26.264                     -0.78559657
                   26.31                     -0.78445024
                  26.356                     -0.78327231
                  26.402                     -0.78206345
                  26.448                     -0.78082434
                  26.494                     -0.77955566
                   26.54                     -0.77825809
                  26.586                     -0.77693229
                  26.632                     -0.77557895
                  26.678                     -0.77419871
                  26.724                     -0.77279224
                   26.77                      -0.7713602
                  26.816                     -0.76990323
                  26.862                     -0.76842199
                  26.908                     -0.76691711
                  26.954                     -0.76538923
                      27                     -0.76383898
                  27.046                     -0.76226698
                  27.092                     -0.76067385
                  27.138                      -0.7590602
                  27.184                     -0.75742663
                   27.23                     -0.75577376
                  27.276                     -0.75410216
                  27.322                     -0.75241242
                  27.368                     -0.75070512
                  27.414                     -0.74898083
                   27.46                     -0.74724012
