        Frequency / GHz                SZmax(1),Zmax(1) (ro=2)/abs,dB
                  11.682                     -0.11280467
                  11.731                       -0.115781
                   11.78                     -0.11886651
                  11.829                     -0.12206716
                  11.878                     -0.12538938
                  11.927                     -0.12884006
                  11.976                     -0.13242662
                  12.025                     -0.13615705
                  12.074                        -0.14004
                  12.123                     -0.14408477
                  12.172                     -0.14830146
                  12.221                     -0.15270099
                   12.27                     -0.15729521
                  12.319                     -0.16209698
                  12.368                     -0.16712031
                  12.417                     -0.17238044
                  12.466                     -0.17789401
                  12.515                      -0.1836792
                  12.564                      -0.1897559
                  12.613                     -0.19614592
                  12.662                     -0.20287323
                  12.711                     -0.20996417
                   12.76                     -0.21744782
                  12.809                     -0.22535624
                  12.858                     -0.23372495
                  12.907                     -0.24259333
                  12.956                     -0.25200513
                  13.005                     -0.26200909
                  13.054                     -0.27265959
                  13.103                     -0.28401752
                  13.152                     -0.29615116
                  13.201                     -0.30913729
                   13.25                     -0.32306253
                  13.299                     -0.33802479
                  13.348                     -0.35413515
                  13.397                     -0.37151996
                  13.446                     -0.39032339
                  13.495                     -0.41071055
                  13.544                     -0.43287111
                  13.593                     -0.45702378
                  13.642                     -0.48342172
                  13.691                     -0.51235907
                   13.74                     -0.54417902
                  13.789                     -0.57928375
                  13.838                     -0.61814658
                  13.887                     -0.66132727
                  13.936                     -0.70949097
                  13.985                     -0.76343209
                  14.034                     -0.82410443
                  14.083                     -0.89265937
                  14.132                     -0.97049464
                  14.181                      -1.0593168
                 14.2055                      -1.1084849
                   14.23                      -1.1612214
                  14.279                       -1.278797
                  14.328                      -1.4152592
                  14.377                      -1.5746244
                  14.426                      -1.7619337
                  14.475                        -1.98354
                  14.524                      -2.2474698
                  14.573                      -2.5638646
                  14.622                      -2.9454909
                  14.671                      -3.4082503
                14.68325                      -3.5388098
                   14.72                      -3.9714949
                  14.769                      -4.6576119
                  14.818                      -5.4895112
                  14.867                      -6.4826042
                  14.916                      -7.6231542
               14.922125                      -7.7728461
                  14.965                      -8.8179793
                  15.014                      -9.8146775
                  15.063                      -10.212552
                  15.112                      -9.7896013
                  15.161                      -8.7842877
                   15.21                      -7.5951186
                  15.259                      -6.4664313
                  15.308                        -5.48651
                  15.357                      -4.6671219
                  15.406                      -3.9922837
                  15.455                      -3.4390637
                  15.504                       -2.985235
                  15.553                      -2.6116416
               15.595875                      -2.3381288
                  15.602                      -2.3025642
                  15.651                      -2.0453936
                    15.7                       -1.830117
                  15.749                      -1.6488116
                  15.798                       -1.495206
                  15.847                      -1.3643222
                  15.896                      -1.2521936
                  15.945                      -1.1556429
                  15.994                      -1.0721117
                16.03075                      -1.0167457
                  16.043                     -0.99952809
                  16.092                     -0.93620452
                  16.141                     -0.88075843
                   16.19                     -0.83205081
                  16.239                     -0.78913812
                  16.288                     -0.75123461
                  16.337                     -0.71768258
                  16.386                     -0.68792883
                  16.435                     -0.66150591
                  16.484                      -0.6380171
                  16.533                     -0.61712433
                  16.582                     -0.59853838
                  16.631                     -0.58201097
                   16.68                     -0.56732827
                  16.729                     -0.55430553
                  16.778                      -0.5427828
                  16.827                     -0.53262121
                  16.876                     -0.52370005
                 16.9005                     -0.51967124
                  16.925                     -0.51591424
                  16.974                     -0.50917225
                  17.023                     -0.50339438
                  17.072                      -0.4985113
                  17.121                     -0.49446285
                   17.17                     -0.49119703
                  17.219                     -0.48866916
                  17.268                     -0.48684119
                  17.317                     -0.48568117
                  17.366                     -0.48516279
                  17.415                     -0.48526506
                  17.464                     -0.48597207
                  17.513                     -0.48727284
                  17.562                     -0.48916131
                  17.611                     -0.49163632
                   17.66                     -0.49470184
                  17.709                     -0.49836716
                  17.758                     -0.50264732
                17.77025                     -0.50381577
                  17.807                     -0.50756358
                  17.856                     -0.51314415
                  17.905                     -0.51942502
                  17.954                      -0.5264511
                  18.003                     -0.53427765
                  18.052                     -0.54297196
                  18.101                     -0.55261567
                   18.15                      -0.5633075
                  18.199                      -0.5751668
                  18.248                     -0.58833809
                  18.297                     -0.60299677
                  18.346                     -0.61935661
                  18.395                     -0.63767942
                  18.444                     -0.65828769
                  18.493                     -0.68158146
                  18.542                     -0.70806077
                  18.591                     -0.73835621
                   18.64                     -0.77327066
                  18.689                     -0.81383744
                  18.738                     -0.86140229
                  18.787                     -0.91774083
                  18.836                     -0.98522993
                  18.885                      -1.0671022
                  18.934                      -1.1678318
                  18.983                      -1.2937323
                  19.032                      -1.4539047
                  19.081                      -1.6617805
                   19.13                         -1.9377
                  19.179                      -2.3133503
                  19.228                      -2.8396476
                  19.277                      -3.6012737
                  19.326                      -4.7449368
                  19.375                      -6.5396362
                  19.424                      -9.5287558
                  19.473                      -14.944917
                  19.522                      -19.191025
                  19.571                      -12.272079
                   19.62                      -8.1341787
                  19.669                      -5.7704547
                  19.718                      -4.3129627
                  19.767                      -3.3669265
                  19.816                      -2.7279529
                  19.865                      -2.2816892
                  19.914                      -1.9609019
                  19.963                      -1.7245054
                  20.012                      -1.5465382
                  20.061                       -1.410093
                   20.11                      -1.3038533
                  20.159                       -1.220054
                  20.208                      -1.1532453
                  20.257                      -1.0995242
                  20.306                      -1.0560435
                  20.355                      -1.0206919
                  20.404                     -0.99188083
                  20.453                     -0.96839963
                  20.502                     -0.94931533
                  20.551                     -0.93390266
                    20.6                     -0.92159423
                  20.649                       -0.911945
                  20.698                     -0.90460679
                  20.747                     -0.89931032
                  20.796                     -0.89585308
                  20.845                     -0.89409196
                  20.894                     -0.89394052
                  20.943                     -0.89537112
                  20.992                     -0.89842292
                  21.041                     -0.90321808
                   21.09                     -0.90998946
                  21.139                     -0.91912432
                  21.188                     -0.93122686
                  21.237                     -0.94718452
                  21.286                     -0.96814259
                  21.335                     -0.99498762
                  21.384                        -1.02609
                  21.433                      -1.0515965
                  21.482                      -1.0514075
                  21.531                      -1.0190446
                   21.58                     -0.97846296
                  21.629                     -0.94984797
                  21.678                     -0.93510695
                  21.727                     -0.92994081
                  21.776                     -0.93061872
                  21.825                     -0.93486167
                  21.874                     -0.94138512
                  21.923                     -0.94947631
                  21.972                     -0.95876948
                  22.021                     -0.96911296
                   22.07                     -0.98044697
                  22.119                     -0.99274966
                  22.168                      -1.0060361
                  22.217                      -1.0203578
                  22.266                      -1.0357986
                  22.315                      -1.0524713
                  22.364                      -1.0705169
                  22.413                      -1.0901071
                  22.462                       -1.111447
                  22.511                      -1.1347811
                   22.56                      -1.1604001
                  22.609                      -1.1886505
                  22.658                       -1.219946
                  22.707                      -1.2547832
                  22.756                      -1.2937606
                  22.805                      -1.3376037
                  22.854                      -1.3871972
                  22.903                       -1.443627
                 22.9275                       -1.474813
                  22.952                      -1.5082349
                  23.001                      -1.5826919
                   23.05                      -1.6690949
                  23.099                      -1.7700976
                  23.148                      -1.8890881
                  23.197                      -2.0304326
                  23.246                      -2.1998127
                  23.295                      -2.4046978
                  23.344                      -2.6550127
                23.35625                        -2.72616
                  23.393                       -2.964092
                  23.442                      -3.3500641
                  23.491                      -3.8378911
                   23.54                      -4.4624504
               23.570625                      -4.9434618
                  23.589                      -5.2733705
                  23.638                       -6.343072
                  23.687                      -7.7812653
                  23.736                      -9.7634092
                  23.785                      -12.585333
                  23.834                      -16.646874
               23.838594                      -17.086261
                  23.883                      -20.126864
               23.892187                      -19.980987
               23.918984                      -18.075488
                  23.932                      -16.856046
               23.945781                      -15.598191
                  23.981                      -12.846766
               23.999375                      -11.681392
                   24.03                       -10.06993
                  24.079                      -8.1270668
                  24.128                      -6.7183777
                  24.177                      -5.6679374
                24.21375                       -5.048424
                  24.226                      -4.8673857
                  24.275                      -4.2462411
                  24.324                      -3.7567756
                  24.373                      -3.3657189
                  24.422                      -3.0493647
                  24.471                      -2.7905193
                   24.52                      -2.5765214
                  24.569                      -2.3979209
                  24.618                      -2.2475771
                 24.6425                      -2.1812436
                  24.667                      -2.1200337
                  24.716                      -2.0110782
                  24.765                      -1.9174285
                  24.814                      -1.8365064
                  24.863                       -1.766273
                  24.912                      -1.7051079
                  24.961                      -1.6517198
                   25.01                      -1.6050805
