        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                 16.3482                      -16.757272
                 16.3639                      -16.818837
                 16.3796                      -16.881751
                 16.3953                       -16.94603
                  16.411                      -17.011691
                 16.4267                      -17.078751
                 16.4424                      -17.147229
                 16.4581                      -17.217143
                 16.4738                      -17.288514
                 16.4895                      -17.361362
                 16.5052                      -17.435708
                 16.5209                      -17.511576
                 16.5366                      -17.588989
                 16.5523                       -17.66797
                  16.568                      -17.748546
                 16.5837                      -17.830742
                 16.5994                      -17.914585
                 16.6151                      -18.000105
                 16.6308                       -18.08733
                 16.6465                      -18.176292
                 16.6622                      -18.267023
                 16.6779                      -18.359555
                 16.6936                      -18.453923
                 16.7093                      -18.550164
                  16.725                      -18.648315
                 16.7407                      -18.748414
                 16.7564                      -18.850503
                 16.7721                      -18.954624
                 16.7878                      -19.060819
                 16.8035                      -19.169136
                 16.8192                      -19.279622
                 16.8349                      -19.392326
                 16.8506                      -19.507299
                 16.8663                      -19.624596
                  16.882                      -19.744272
                 16.8977                      -19.866386
                 16.9134                      -19.990998
                 16.9291                      -20.118171
                 16.9448                      -20.247972
                 16.9605                      -20.380468
                 16.9762                       -20.51573
                 16.9919                      -20.653834
                 17.0076                      -20.794857
                 17.0233                      -20.938878
                  17.039                      -21.085983
                 17.0547                      -21.236258
                 17.0704                      -21.389794
                 17.0861                      -21.546686
                 17.1018                      -21.707032
                 17.1175                      -21.870933
                 17.1332                      -22.038496
                 17.1489                       -22.20983
                 17.1646                      -22.385049
                 17.1803                      -22.564269
                  17.196                      -22.747612
                 17.2117                      -22.935203
                 17.2274                      -23.127167
                 17.2431                      -23.323637
                 17.2588                      -23.524744
                 17.2745                      -23.730622
                 17.2902                      -23.941405
                 17.3059                      -24.157228
                 17.3216                      -24.378223
                 17.3373                      -24.604515
                  17.353                      -24.836225
                 17.3687                      -25.073464
                 17.3844                      -25.316326
                 17.4001                       -25.56489
                 17.4158                      -25.819207
                 17.4315                      -26.079294
                 17.4472                      -26.345128
                 17.4629                       -26.61663
                 17.4786                      -26.893654
                 17.4943                      -27.175965
                   17.51                      -27.463224
                 17.5257                      -27.754958
                 17.5414                      -28.050535
                 17.5571                      -28.349123
                 17.5728                      -28.649657
                 17.5885                      -28.950789
                 17.6042                      -29.250848
                 17.6199                      -29.547785
                 17.6356                      -29.839134
                 17.6513                      -30.121978
                  17.667                      -30.392932
                 17.6827                      -30.648166
                 17.6984                      -30.883456
                 17.7141                       -31.09431
                 17.7298                      -31.276138
                 17.7455                      -31.424501
                 17.7612                       -31.53539
                 17.7769                      -31.605543
                 17.7926                      -31.632718
                 17.8083                      -31.615906
                  17.824                      -31.555431
                 17.8397                      -31.452915
                 17.8554                      -31.311125
                 17.8711                      -31.133718
                 17.8868                      -30.924949
                 17.9025                      -30.689362
                 17.9182                      -30.431523
                 17.9339                      -30.155812
                 17.9496                      -29.866272
                 17.9653                      -29.566519
                  17.981                      -29.259712
                 17.9967                      -28.948544
                 18.0124                      -28.635272
                 18.0281                      -28.321756
                 18.0438                      -28.009503
                 18.0595                      -27.699716
                 18.0752                      -27.393341
                 18.0909                      -27.091106
                 18.1066                      -26.793561
                 18.1223                       -26.50111
                  18.138                      -26.214036
                 18.1537                      -25.932527
                 18.1694                      -25.656692
                 18.1851                      -25.386581
                 18.2008                      -25.122193
                 18.2165                      -24.863493
                 18.2322                      -24.610413
                 18.2479                      -24.362865
                 18.2636                      -24.120744
                 18.2793                      -23.883932
                  18.295                      -23.652304
                 18.3107                      -23.425727
                 18.3264                      -23.204069
                 18.3421                      -22.987191
                 18.3578                      -22.774958
                 18.3735                      -22.567235
                 18.3892                      -22.363889
                 18.4049                      -22.164787
                 18.4206                      -21.969803
                 18.4363                      -21.778811
                  18.452                       -21.59169
                 18.4677                      -21.408323
                 18.4834                      -21.228597
                 18.4991                        -21.0524
                 18.5148                      -20.879628
                 18.5305                      -20.710177
                 18.5462                       -20.54395
                 18.5619                      -20.380852
                 18.5776                       -20.22079
                 18.5933                      -20.063678
                  18.609                       -19.90943
                 18.6247                      -19.757966
                 18.6404                      -19.609207
                 18.6561                      -19.463077
                 18.6718                      -19.319506
                 18.6875                      -19.178422
                 18.7032                      -19.039759
                 18.7189                      -18.903452
                 18.7346                      -18.769441
                 18.7503                      -18.637664
                  18.766                      -18.508064
                 18.7817                      -18.380587
                 18.7974                      -18.255179
                 18.8131                      -18.131789
                 18.8288                      -18.010367
                 18.8445                      -17.890866
                 18.8602                      -17.773239
                 18.8759                      -17.657444
                 18.8916                      -17.543436
                 18.9073                      -17.431174
                  18.923                       -17.32062
                 18.9387                      -17.211734
                 18.9544                      -17.104479
                 18.9701                       -16.99882
                 18.9858                      -16.894723
                 19.0015                      -16.792152
                 19.0172                      -16.691077
                 19.0329                      -16.591465
                 19.0486                      -16.493287
                 19.0643                      -16.396514
                   19.08                      -16.301116
                 19.0957                      -16.207067
                 19.1114                       -16.11434
                 19.1271                      -16.022909
                 19.1428                      -15.932749
                 19.1585                      -15.843836
                 19.1742                      -15.756147
                 19.1899                      -15.669658
                 19.2056                      -15.584348
                 19.2213                      -15.500195
                  19.237                      -15.417179
                 19.2527                      -15.335279
                 19.2684                      -15.254475
                 19.2841                      -15.174749
                 19.2998                      -15.096083
                 19.3155                      -15.018457
                 19.3312                      -14.941855
                 19.3469                      -14.866259
                 19.3626                      -14.791654
                 19.3783                      -14.718022
                  19.394                      -14.645349
                 19.4097                      -14.573619
                 19.4254                      -14.502818
                 19.4411                       -14.43293
                 19.4568                      -14.363942
                 19.4725                      -14.295841
                 19.4882                      -14.228613
                 19.5039                      -14.162244
                 19.5196                      -14.096723
                 19.5353                      -14.032036
                  19.551                      -13.968173
                 19.5667                      -13.905121
                 19.5824                      -13.842869
                 19.5981                      -13.781405
                 19.6138                       -13.72072
                 19.6295                      -13.660801
                 19.6452                       -13.60164
                 19.6609                      -13.543225
                 19.6766                      -13.485548
                 19.6923                      -13.428598
                  19.708                      -13.372366
                 19.7237                      -13.316842
                 19.7394                      -13.262019
                 19.7551                      -13.207887
                 19.7708                      -13.154438
