        Frequency / GHz                SZmax(1),Zmax(1)/abs,dB
                  49.559                     -0.46860004
                  49.608                     -0.47368829
                  49.657                     -0.47922128
                  49.706                     -0.48521613
                  49.755                     -0.49169097
                  49.804                     -0.49866497
                  49.853                     -0.50615832
                  49.902                      -0.5141923
                  49.951                     -0.52278917
                      50                     -0.53197215

